Card,Number,Set,Price,Breakeven Price,Buy Price,How many,header
Wailord EX,147/160,XY Primal Clash,6.24,4.352528,3.6996488,1,3.6996488
Rockruff Holo,SV23/SV94,Hidden Fates Shiny Vault,1.93,0.593346,0.5043441,1,0.5043441
Shiny Magikarp,143,XY Promo,13,10.2486,8.71131,1,8.71131
Alolan Vulpix,21/145,SM Promo,6.7,4.75374,4.040679,3,12.122037
Dark Jolteon,38/82,Unlimited,2.44,1.038168,0.8824428,1,0.8824428
Cleffa,20/111,First Edition,15.49,12.420378,10.5573213,1,10.5573213
Japense Cleffa,173,Neo-Genesis,7.79,5.704438,4.8487723,2,9.6975446
Ponyta,,generations promo,3,1.5266,1.29761,1,1.29761
Magikarp,,generations promo,3,1.5266,1.29761,1,1.29761
Psyduck,sm199,SM Promo,1.5,0.2183,0.185555,1,0.185555
Gym Badge (Sabrina),XY208,XY Promo,6.5,4.5793,3.892405,1,3.892405
Team Skull Grunt,149,SM Base Set,4.15,2.52963,2.1501855,1,2.1501855
Gym Badge (Misty),XY204,XY Promo,6.5,4.5793,3.892405,1,3.892405
Gym Badge (Blaine),XY209,XY Promo,4,2.3988,2.03898,1,2.03898
Gallade,224/236,SM Cosmic Eclipse,5.05,3.31461,2.8174185,1,2.8174185
Gumshoos,157/149,SM Base Set,4.5,2.8349,2.409665,1,2.409665
Sabrinas Esp,117,Unlimited,1.76,0.445072,0.3783112,1,0.3783112
